CONCR1	CONCR2
307.68180	288.33607
307.71951	281.01475
293.63980	291.09615
297.80517	295.84024
302.59519	280.49517
317.16365	296.37147
314.35777	295.63439
305.73131	289.05218
311.49021	305.15512
312.89680	303.23699
306.50242	288.46718
310.89439	306.64337
302.10579	283.16403
303.58730	299.07639
308.76728	289.92100
310.61301	294.39697
301.15276	296.08293
328.70247	301.50463
319.59955	298.32095
317.27202	294.50028
313.68887	302.37827
	303.17177
	301.28511
	282.27222
	290.35452
	296.80234
	298.71789
	303.08083
	296.40186
	301.82608
